customer_id,cluster_kmeans,cluster_name
503,7,Large Families
504,7,Large Families
505,6,High-Value Customers
506,0,Regular Cutomers
508,6,High-Value Customers
509,1,Gamers
510,0,Regular Cutomers
511,0,Regular Cutomers
513,0,Regular Cutomers
514,3,Senior Karens
515,5,Low-Value Occasional Customers
516,1,Gamers
517,5,Low-Value Occasional Customers
518,0,Regular Cutomers
520,7,Large Families
521,0,Regular Cutomers
522,3,Senior Karens
523,7,Large Families
524,4,Promotion Lovers
526,2,Clean & Green
527,0,Regular Cutomers
528,8,Young Karens
529,8,Young Karens
530,4,Promotion Lovers
531,7,Large Families
532,0,Regular Cutomers
533,0,Regular Cutomers
534,6,High-Value Customers
535,5,Low-Value Occasional Customers
536,5,Low-Value Occasional Customers
537,7,Large Families
538,4,Promotion Lovers
539,4,Promotion Lovers
540,4,Promotion Lovers
541,4,Promotion Lovers
542,4,Promotion Lovers
543,4,Promotion Lovers
545,0,Regular Cutomers
547,5,Low-Value Occasional Customers
548,0,Regular Cutomers
549,2,Clean & Green
550,4,Promotion Lovers
551,0,Regular Cutomers
552,8,Young Karens
553,7,Large Families
554,8,Young Karens
556,1,Gamers
557,4,Promotion Lovers
558,7,Large Families
559,0,Regular Cutomers
561,4,Promotion Lovers
562,3,Senior Karens
563,4,Promotion Lovers
565,4,Promotion Lovers
566,5,Low-Value Occasional Customers
568,1,Gamers
569,2,Clean & Green
570,6,High-Value Customers
571,7,Large Families
573,0,Regular Cutomers
574,4,Promotion Lovers
575,4,Promotion Lovers
576,7,Large Families
577,4,Promotion Lovers
578,0,Regular Cutomers
579,6,High-Value Customers
580,6,High-Value Customers
581,0,Regular Cutomers
582,7,Large Families
583,0,Regular Cutomers
584,4,Promotion Lovers
585,0,Regular Cutomers
586,5,Low-Value Occasional Customers
587,1,Gamers
588,4,Promotion Lovers
589,1,Gamers
590,8,Young Karens
591,1,Gamers
592,4,Promotion Lovers
593,4,Promotion Lovers
594,8,Young Karens
595,7,Large Families
596,0,Regular Cutomers
597,4,Promotion Lovers
598,1,Gamers
603,0,Regular Cutomers
604,0,Regular Cutomers
605,4,Promotion Lovers
606,8,Young Karens
609,7,Large Families
611,5,Low-Value Occasional Customers
613,1,Gamers
614,8,Young Karens
615,0,Regular Cutomers
617,4,Promotion Lovers
618,0,Regular Cutomers
619,4,Promotion Lovers
621,1,Gamers
622,4,Promotion Lovers
623,5,Low-Value Occasional Customers
624,4,Promotion Lovers
625,4,Promotion Lovers
626,0,Regular Cutomers
627,6,High-Value Customers
628,3,Senior Karens
629,5,Low-Value Occasional Customers
631,3,Senior Karens
632,8,Young Karens
633,0,Regular Cutomers
634,1,Gamers
635,5,Low-Value Occasional Customers
636,5,Low-Value Occasional Customers
637,3,Senior Karens
638,1,Gamers
639,7,Large Families
640,3,Senior Karens
641,5,Low-Value Occasional Customers
642,5,Low-Value Occasional Customers
643,0,Regular Cutomers
644,2,Clean & Green
645,4,Promotion Lovers
646,0,Regular Cutomers
647,4,Promotion Lovers
648,1,Gamers
650,4,Promotion Lovers
653,4,Promotion Lovers
654,7,Large Families
655,0,Regular Cutomers
656,7,Large Families
657,4,Promotion Lovers
658,0,Regular Cutomers
659,8,Young Karens
660,2,Clean & Green
662,7,Large Families
663,8,Young Karens
664,3,Senior Karens
665,4,Promotion Lovers
666,8,Young Karens
667,3,Senior Karens
668,0,Regular Cutomers
669,5,Low-Value Occasional Customers
670,4,Promotion Lovers
671,4,Promotion Lovers
673,1,Gamers
674,5,Low-Value Occasional Customers
675,2,Clean & Green
676,5,Low-Value Occasional Customers
677,0,Regular Cutomers
678,5,Low-Value Occasional Customers
679,0,Regular Cutomers
680,0,Regular Cutomers
681,0,Regular Cutomers
682,5,Low-Value Occasional Customers
685,2,Clean & Green
686,8,Young Karens
687,4,Promotion Lovers
688,4,Promotion Lovers
689,0,Regular Cutomers
691,4,Promotion Lovers
692,1,Gamers
694,4,Promotion Lovers
695,4,Promotion Lovers
696,8,Young Karens
697,7,Large Families
699,8,Young Karens
700,1,Gamers
701,3,Senior Karens
703,1,Gamers
704,2,Clean & Green
705,1,Gamers
707,2,Clean & Green
708,2,Clean & Green
709,0,Regular Cutomers
710,5,Low-Value Occasional Customers
712,0,Regular Cutomers
713,4,Promotion Lovers
714,4,Promotion Lovers
715,4,Promotion Lovers
717,7,Large Families
718,3,Senior Karens
719,5,Low-Value Occasional Customers
721,4,Promotion Lovers
722,4,Promotion Lovers
723,0,Regular Cutomers
725,0,Regular Cutomers
726,8,Young Karens
727,0,Regular Cutomers
728,7,Large Families
729,4,Promotion Lovers
730,4,Promotion Lovers
731,0,Regular Cutomers
732,5,Low-Value Occasional Customers
733,5,Low-Value Occasional Customers
734,8,Young Karens
735,6,High-Value Customers
736,6,High-Value Customers
737,0,Regular Cutomers
738,8,Young Karens
739,3,Senior Karens
741,2,Clean & Green
742,3,Senior Karens
743,8,Young Karens
744,5,Low-Value Occasional Customers
745,6,High-Value Customers
746,1,Gamers
747,8,Young Karens
748,0,Regular Cutomers
749,5,Low-Value Occasional Customers
752,4,Promotion Lovers
753,5,Low-Value Occasional Customers
754,6,High-Value Customers
755,7,Large Families
757,6,High-Value Customers
758,8,Young Karens
759,0,Regular Cutomers
760,2,Clean & Green
761,4,Promotion Lovers
762,4,Promotion Lovers
763,4,Promotion Lovers
764,0,Regular Cutomers
765,3,Senior Karens
766,1,Gamers
767,4,Promotion Lovers
768,5,Low-Value Occasional Customers
769,4,Promotion Lovers
770,5,Low-Value Occasional Customers
771,0,Regular Cutomers
772,2,Clean & Green
773,5,Low-Value Occasional Customers
776,6,High-Value Customers
777,5,Low-Value Occasional Customers
779,2,Clean & Green
780,0,Regular Cutomers
781,2,Clean & Green
782,8,Young Karens
783,4,Promotion Lovers
785,0,Regular Cutomers
787,1,Gamers
788,0,Regular Cutomers
789,4,Promotion Lovers
791,1,Gamers
792,2,Clean & Green
793,4,Promotion Lovers
794,8,Young Karens
795,5,Low-Value Occasional Customers
797,0,Regular Cutomers
798,7,Large Families
799,4,Promotion Lovers
800,7,Large Families
803,0,Regular Cutomers
804,2,Clean & Green
805,0,Regular Cutomers
806,1,Gamers
808,8,Young Karens
809,1,Gamers
810,8,Young Karens
811,6,High-Value Customers
812,6,High-Value Customers
813,0,Regular Cutomers
814,4,Promotion Lovers
815,4,Promotion Lovers
816,4,Promotion Lovers
817,7,Large Families
818,7,Large Families
819,0,Regular Cutomers
820,0,Regular Cutomers
821,0,Regular Cutomers
822,8,Young Karens
823,2,Clean & Green
824,2,Clean & Green
826,2,Clean & Green
827,0,Regular Cutomers
830,5,Low-Value Occasional Customers
831,0,Regular Cutomers
832,0,Regular Cutomers
833,1,Gamers
834,0,Regular Cutomers
835,4,Promotion Lovers
836,5,Low-Value Occasional Customers
837,5,Low-Value Occasional Customers
838,4,Promotion Lovers
839,2,Clean & Green
840,3,Senior Karens
842,4,Promotion Lovers
843,0,Regular Cutomers
844,3,Senior Karens
845,8,Young Karens
846,8,Young Karens
847,4,Promotion Lovers
848,7,Large Families
849,7,Large Families
851,5,Low-Value Occasional Customers
852,7,Large Families
853,6,High-Value Customers
854,2,Clean & Green
855,0,Regular Cutomers
856,1,Gamers
857,2,Clean & Green
859,5,Low-Value Occasional Customers
860,3,Senior Karens
862,6,High-Value Customers
863,2,Clean & Green
864,4,Promotion Lovers
865,5,Low-Value Occasional Customers
866,5,Low-Value Occasional Customers
867,4,Promotion Lovers
868,5,Low-Value Occasional Customers
870,8,Young Karens
873,8,Young Karens
874,1,Gamers
875,7,Large Families
876,2,Clean & Green
878,5,Low-Value Occasional Customers
879,5,Low-Value Occasional Customers
880,2,Clean & Green
881,7,Large Families
883,2,Clean & Green
884,5,Low-Value Occasional Customers
886,6,High-Value Customers
887,3,Senior Karens
889,0,Regular Cutomers
890,8,Young Karens
891,2,Clean & Green
893,4,Promotion Lovers
894,8,Young Karens
896,4,Promotion Lovers
897,0,Regular Cutomers
898,8,Young Karens
899,4,Promotion Lovers
900,4,Promotion Lovers
901,8,Young Karens
902,6,High-Value Customers
903,6,High-Value Customers
904,6,High-Value Customers
905,0,Regular Cutomers
906,0,Regular Cutomers
907,3,Senior Karens
908,7,Large Families
909,5,Low-Value Occasional Customers
910,5,Low-Value Occasional Customers
911,6,High-Value Customers
913,0,Regular Cutomers
914,0,Regular Cutomers
916,6,High-Value Customers
917,4,Promotion Lovers
918,4,Promotion Lovers
919,4,Promotion Lovers
920,0,Regular Cutomers
921,0,Regular Cutomers
922,6,High-Value Customers
923,6,High-Value Customers
924,5,Low-Value Occasional Customers
925,2,Clean & Green
926,0,Regular Cutomers
927,0,Regular Cutomers
928,8,Young Karens
929,4,Promotion Lovers
930,8,Young Karens
931,2,Clean & Green
933,1,Gamers
934,6,High-Value Customers
935,1,Gamers
936,0,Regular Cutomers
937,1,Gamers
938,7,Large Families
939,1,Gamers
940,2,Clean & Green
941,5,Low-Value Occasional Customers
942,1,Gamers
944,2,Clean & Green
945,4,Promotion Lovers
946,4,Promotion Lovers
947,7,Large Families
948,4,Promotion Lovers
950,7,Large Families
951,8,Young Karens
953,8,Young Karens
954,2,Clean & Green
955,0,Regular Cutomers
956,4,Promotion Lovers
957,6,High-Value Customers
958,0,Regular Cutomers
960,1,Gamers
962,5,Low-Value Occasional Customers
963,5,Low-Value Occasional Customers
964,6,High-Value Customers
965,0,Regular Cutomers
966,0,Regular Cutomers
967,1,Gamers
968,2,Clean & Green
969,4,Promotion Lovers
970,0,Regular Cutomers
973,0,Regular Cutomers
974,2,Clean & Green
975,2,Clean & Green
977,1,Gamers
978,0,Regular Cutomers
979,1,Gamers
980,8,Young Karens
981,3,Senior Karens
982,1,Gamers
983,5,Low-Value Occasional Customers
986,8,Young Karens
989,7,Large Families
990,8,Young Karens
991,1,Gamers
992,7,Large Families
993,0,Regular Cutomers
994,6,High-Value Customers
996,0,Regular Cutomers
997,5,Low-Value Occasional Customers
998,3,Senior Karens
999,7,Large Families
1000,2,Clean & Green
1001,2,Clean & Green
1002,5,Low-Value Occasional Customers
1003,7,Large Families
1004,0,Regular Cutomers
1007,5,Low-Value Occasional Customers
1008,5,Low-Value Occasional Customers
1009,5,Low-Value Occasional Customers
1011,4,Promotion Lovers
1014,4,Promotion Lovers
1015,1,Gamers
1016,0,Regular Cutomers
1018,4,Promotion Lovers
1019,2,Clean & Green
1021,0,Regular Cutomers
1022,4,Promotion Lovers
1023,7,Large Families
1024,0,Regular Cutomers
1025,6,High-Value Customers
1026,1,Gamers
1027,6,High-Value Customers
1028,1,Gamers
1029,2,Clean & Green
1030,6,High-Value Customers
1031,0,Regular Cutomers
1032,4,Promotion Lovers
1033,2,Clean & Green
1034,0,Regular Cutomers
1035,4,Promotion Lovers
1038,4,Promotion Lovers
1039,0,Regular Cutomers
1040,7,Large Families
1041,2,Clean & Green
1042,7,Large Families
1043,0,Regular Cutomers
1044,0,Regular Cutomers
1045,4,Promotion Lovers
1046,6,High-Value Customers
1048,8,Young Karens
1049,0,Regular Cutomers
1050,4,Promotion Lovers
1051,5,Low-Value Occasional Customers
1052,0,Regular Cutomers
1055,1,Gamers
1058,4,Promotion Lovers
1060,6,High-Value Customers
1061,0,Regular Cutomers
1063,0,Regular Cutomers
1064,7,Large Families
1065,1,Gamers
1066,0,Regular Cutomers
1067,5,Low-Value Occasional Customers
1068,1,Gamers
1069,3,Senior Karens
1071,1,Gamers
1072,1,Gamers
1073,6,High-Value Customers
1074,7,Large Families
1075,7,Large Families
1076,7,Large Families
1077,6,High-Value Customers
1078,0,Regular Cutomers
1079,5,Low-Value Occasional Customers
1080,5,Low-Value Occasional Customers
1082,3,Senior Karens
1083,0,Regular Cutomers
1084,4,Promotion Lovers
1085,4,Promotion Lovers
1086,1,Gamers
1087,4,Promotion Lovers
1088,0,Regular Cutomers
1089,7,Large Families
1090,2,Clean & Green
1091,0,Regular Cutomers
1092,4,Promotion Lovers
1093,2,Clean & Green
1094,7,Large Families
1095,6,High-Value Customers
1096,5,Low-Value Occasional Customers
1097,7,Large Families
1098,2,Clean & Green
1099,1,Gamers
1101,4,Promotion Lovers
1103,1,Gamers
1104,1,Gamers
1105,7,Large Families
1106,0,Regular Cutomers
1108,0,Regular Cutomers
1110,4,Promotion Lovers
1111,4,Promotion Lovers
1112,5,Low-Value Occasional Customers
1113,0,Regular Cutomers
1114,7,Large Families
1115,1,Gamers
1117,5,Low-Value Occasional Customers
1118,4,Promotion Lovers
1119,4,Promotion Lovers
1120,7,Large Families
1121,4,Promotion Lovers
1122,1,Gamers
1123,0,Regular Cutomers
1124,2,Clean & Green
1125,8,Young Karens
1126,0,Regular Cutomers
1127,4,Promotion Lovers
1128,4,Promotion Lovers
1129,0,Regular Cutomers
1130,0,Regular Cutomers
1131,2,Clean & Green
1132,6,High-Value Customers
1133,6,High-Value Customers
1134,5,Low-Value Occasional Customers
1135,8,Young Karens
1136,2,Clean & Green
1137,3,Senior Karens
1138,4,Promotion Lovers
1139,1,Gamers
1140,1,Gamers
1141,4,Promotion Lovers
1142,0,Regular Cutomers
1143,6,High-Value Customers
1145,4,Promotion Lovers
1146,1,Gamers
1150,7,Large Families
1152,8,Young Karens
1153,7,Large Families
1154,7,Large Families
1155,0,Regular Cutomers
1156,1,Gamers
1157,5,Low-Value Occasional Customers
1158,5,Low-Value Occasional Customers
1159,2,Clean & Green
1160,1,Gamers
1163,0,Regular Cutomers
1164,6,High-Value Customers
1167,7,Large Families
1168,8,Young Karens
1170,6,High-Value Customers
1171,3,Senior Karens
1172,7,Large Families
1173,0,Regular Cutomers
1175,5,Low-Value Occasional Customers
1177,1,Gamers
1178,0,Regular Cutomers
1179,1,Gamers
1180,2,Clean & Green
1181,2,Clean & Green
1182,4,Promotion Lovers
1183,1,Gamers
1184,7,Large Families
1186,4,Promotion Lovers
1187,0,Regular Cutomers
1189,0,Regular Cutomers
1190,7,Large Families
1191,1,Gamers
1193,7,Large Families
1194,0,Regular Cutomers
1196,5,Low-Value Occasional Customers
1197,2,Clean & Green
1199,4,Promotion Lovers
1200,4,Promotion Lovers
1201,6,High-Value Customers
1203,1,Gamers
1205,8,Young Karens
1206,0,Regular Cutomers
1207,6,High-Value Customers
1208,8,Young Karens
1209,7,Large Families
1210,2,Clean & Green
1211,7,Large Families
1212,4,Promotion Lovers
1213,0,Regular Cutomers
1216,5,Low-Value Occasional Customers
1217,5,Low-Value Occasional Customers
1218,6,High-Value Customers
1219,0,Regular Cutomers
1221,6,High-Value Customers
1222,3,Senior Karens
1223,1,Gamers
1224,7,Large Families
1227,1,Gamers
1228,2,Clean & Green
1229,4,Promotion Lovers
1230,7,Large Families
1231,0,Regular Cutomers
1233,5,Low-Value Occasional Customers
1234,0,Regular Cutomers
1235,2,Clean & Green
1236,5,Low-Value Occasional Customers
1237,5,Low-Value Occasional Customers
1238,5,Low-Value Occasional Customers
1239,6,High-Value Customers
1240,1,Gamers
1241,0,Regular Cutomers
1242,0,Regular Cutomers
1243,2,Clean & Green
1245,7,Large Families
1246,0,Regular Cutomers
1247,5,Low-Value Occasional Customers
1249,3,Senior Karens
1250,0,Regular Cutomers
1251,8,Young Karens
1252,6,High-Value Customers
1253,1,Gamers
1255,7,Large Families
1256,0,Regular Cutomers
1257,4,Promotion Lovers
1258,0,Regular Cutomers
1259,5,Low-Value Occasional Customers
1261,7,Large Families
1262,4,Promotion Lovers
1263,0,Regular Cutomers
1264,0,Regular Cutomers
1265,4,Promotion Lovers
1266,2,Clean & Green
1268,0,Regular Cutomers
1269,8,Young Karens
1271,4,Promotion Lovers
1272,0,Regular Cutomers
1273,5,Low-Value Occasional Customers
1274,8,Young Karens
1275,6,High-Value Customers
1277,4,Promotion Lovers
1278,0,Regular Cutomers
1279,0,Regular Cutomers
1280,5,Low-Value Occasional Customers
1281,8,Young Karens
1282,1,Gamers
1283,6,High-Value Customers
1284,5,Low-Value Occasional Customers
1285,8,Young Karens
1286,3,Senior Karens
1289,7,Large Families
1290,4,Promotion Lovers
1291,2,Clean & Green
1292,2,Clean & Green
1293,2,Clean & Green
1294,1,Gamers
1295,3,Senior Karens
1296,0,Regular Cutomers
1297,2,Clean & Green
1298,8,Young Karens
1299,1,Gamers
1300,0,Regular Cutomers
1301,7,Large Families
1302,4,Promotion Lovers
1303,1,Gamers
1304,1,Gamers
1305,4,Promotion Lovers
1306,0,Regular Cutomers
1307,0,Regular Cutomers
1310,7,Large Families
1311,0,Regular Cutomers
1312,6,High-Value Customers
1313,7,Large Families
1314,5,Low-Value Occasional Customers
1315,1,Gamers
1316,0,Regular Cutomers
1317,4,Promotion Lovers
1318,4,Promotion Lovers
1320,8,Young Karens
1321,3,Senior Karens
1322,5,Low-Value Occasional Customers
1323,5,Low-Value Occasional Customers
1324,0,Regular Cutomers
1326,6,High-Value Customers
1327,8,Young Karens
1328,4,Promotion Lovers
1329,2,Clean & Green
1330,4,Promotion Lovers
1331,5,Low-Value Occasional Customers
1332,8,Young Karens
1333,6,High-Value Customers
1334,8,Young Karens
1335,6,High-Value Customers
1336,7,Large Families
1338,6,High-Value Customers
1339,1,Gamers
1340,2,Clean & Green
1341,7,Large Families
1342,7,Large Families
1343,4,Promotion Lovers
1344,2,Clean & Green
1345,4,Promotion Lovers
1346,6,High-Value Customers
1347,7,Large Families
1348,8,Young Karens
1349,5,Low-Value Occasional Customers
1350,6,High-Value Customers
1351,5,Low-Value Occasional Customers
1352,1,Gamers
1353,7,Large Families
1354,0,Regular Cutomers
1355,8,Young Karens
1356,4,Promotion Lovers
1357,0,Regular Cutomers
1358,4,Promotion Lovers
1359,4,Promotion Lovers
1360,5,Low-Value Occasional Customers
1361,0,Regular Cutomers
1362,4,Promotion Lovers
1363,6,High-Value Customers
1364,7,Large Families
1365,6,High-Value Customers
1366,4,Promotion Lovers
1367,0,Regular Cutomers
1368,6,High-Value Customers
1370,0,Regular Cutomers
1371,7,Large Families
1373,0,Regular Cutomers
1374,0,Regular Cutomers
1376,2,Clean & Green
1377,7,Large Families
1378,4,Promotion Lovers
1379,0,Regular Cutomers
1380,0,Regular Cutomers
1381,0,Regular Cutomers
1383,4,Promotion Lovers
1387,7,Large Families
1388,0,Regular Cutomers
1389,4,Promotion Lovers
1390,2,Clean & Green
1391,0,Regular Cutomers
