customer_id,cluster_kmeans_lifetime,cluster_name
482,4,Karens junior
484,7,Meetfish
485,1,Promotion seeker
486,0,Green screen
487,7,Meetfish
488,3,Average customer
489,0,Green screen
490,7,Meetfish
491,4,Karens junior
492,1,Promotion seeker
494,1,Promotion seeker
495,0,Green screen
496,2,Karens
497,3,Average customer
498,0,Green screen
499,4,Karens junior
501,0,Green screen
502,0,Green screen
503,3,Average customer
504,3,Average customer
505,4,Karens junior
506,0,Green screen
508,7,Meetfish
509,5,Large Families
510,7,Meetfish
511,0,Green screen
513,0,Green screen
514,8,
515,2,Karens
516,5,Large Families
517,2,Karens
518,0,Green screen
520,3,Average customer
521,0,Green screen
522,8,
523,3,Average customer
524,4,Karens junior
526,6,Clean and green
527,0,Green screen
528,1,Promotion seeker
529,1,Promotion seeker
530,4,Karens junior
531,3,Average customer
532,0,Green screen
533,0,Green screen
534,7,Meetfish
535,2,Karens
536,2,Karens
537,3,Average customer
538,1,Promotion seeker
539,0,Green screen
540,4,Karens junior
541,4,Karens junior
542,4,Karens junior
543,1,Promotion seeker
545,0,Green screen
547,2,Karens
548,0,Green screen
549,6,Clean and green
550,4,Karens junior
551,0,Green screen
552,1,Promotion seeker
553,3,Average customer
554,1,Promotion seeker
556,5,Large Families
557,7,Meetfish
558,7,Meetfish
559,0,Green screen
561,4,Karens junior
562,0,Green screen
563,1,Promotion seeker
565,4,Karens junior
566,2,Karens
568,5,Large Families
569,6,Clean and green
570,3,Average customer
571,3,Average customer
573,7,Meetfish
574,4,Karens junior
575,0,Green screen
576,3,Average customer
577,0,Green screen
578,0,Green screen
579,7,Meetfish
580,8,
581,0,Green screen
582,3,Average customer
583,1,Promotion seeker
584,4,Karens junior
585,0,Green screen
586,2,Karens
587,5,Large Families
588,4,Karens junior
589,5,Large Families
590,1,Promotion seeker
591,5,Large Families
592,4,Karens junior
593,4,Karens junior
594,1,Promotion seeker
595,3,Average customer
596,0,Green screen
597,7,Meetfish
598,5,Large Families
603,0,Green screen
604,0,Green screen
605,4,Karens junior
606,1,Promotion seeker
609,3,Average customer
611,2,Karens
613,5,Large Families
614,1,Promotion seeker
615,0,Green screen
617,4,Karens junior
618,0,Green screen
619,1,Promotion seeker
621,5,Large Families
622,1,Promotion seeker
623,2,Karens
624,4,Karens junior
625,4,Karens junior
626,0,Green screen
627,4,Karens junior
628,8,
629,2,Karens
631,8,
632,1,Promotion seeker
633,0,Green screen
634,5,Large Families
635,2,Karens
636,2,Karens
637,1,Promotion seeker
638,5,Large Families
639,3,Average customer
640,8,
641,2,Karens
642,2,Karens
643,0,Green screen
644,6,Clean and green
645,4,Karens junior
646,1,Promotion seeker
647,4,Karens junior
648,5,Large Families
650,0,Green screen
653,4,Karens junior
654,3,Average customer
655,0,Green screen
656,3,Average customer
657,4,Karens junior
658,0,Green screen
659,1,Promotion seeker
660,6,Clean and green
662,3,Average customer
663,1,Promotion seeker
664,8,
665,0,Green screen
666,1,Promotion seeker
667,8,
668,0,Green screen
669,2,Karens
670,4,Karens junior
671,4,Karens junior
673,5,Large Families
674,2,Karens
675,6,Clean and green
676,2,Karens
677,0,Green screen
678,2,Karens
679,0,Green screen
680,0,Green screen
681,0,Green screen
682,2,Karens
685,6,Clean and green
686,1,Promotion seeker
687,4,Karens junior
688,4,Karens junior
689,0,Green screen
691,4,Karens junior
692,5,Large Families
694,4,Karens junior
695,7,Meetfish
696,1,Promotion seeker
697,3,Average customer
699,1,Promotion seeker
700,5,Large Families
701,8,
703,5,Large Families
704,6,Clean and green
705,5,Large Families
707,2,Karens
708,6,Clean and green
709,1,Promotion seeker
710,2,Karens
712,0,Green screen
713,4,Karens junior
714,0,Green screen
715,4,Karens junior
717,7,Meetfish
718,8,
719,2,Karens
721,0,Green screen
722,4,Karens junior
723,0,Green screen
725,0,Green screen
726,1,Promotion seeker
727,0,Green screen
728,3,Average customer
729,0,Green screen
730,4,Karens junior
731,1,Promotion seeker
732,2,Karens
733,2,Karens
734,1,Promotion seeker
735,7,Meetfish
736,4,Karens junior
737,0,Green screen
738,1,Promotion seeker
739,8,
741,6,Clean and green
742,8,
743,1,Promotion seeker
744,2,Karens
745,7,Meetfish
746,5,Large Families
747,1,Promotion seeker
748,0,Green screen
749,2,Karens
752,4,Karens junior
753,2,Karens
754,7,Meetfish
755,7,Meetfish
757,7,Meetfish
758,8,
759,0,Green screen
760,6,Clean and green
761,4,Karens junior
762,1,Promotion seeker
763,4,Karens junior
764,0,Green screen
765,8,
766,5,Large Families
767,4,Karens junior
768,2,Karens
769,4,Karens junior
770,2,Karens
771,0,Green screen
772,6,Clean and green
773,6,Clean and green
776,7,Meetfish
777,2,Karens
779,6,Clean and green
780,0,Green screen
781,6,Clean and green
782,1,Promotion seeker
783,4,Karens junior
785,0,Green screen
787,5,Large Families
788,0,Green screen
789,1,Promotion seeker
791,5,Large Families
792,6,Clean and green
793,4,Karens junior
794,1,Promotion seeker
795,2,Karens
797,0,Green screen
798,3,Average customer
799,4,Karens junior
800,3,Average customer
803,0,Green screen
804,6,Clean and green
805,0,Green screen
806,5,Large Families
808,1,Promotion seeker
809,5,Large Families
810,1,Promotion seeker
811,4,Karens junior
812,7,Meetfish
813,0,Green screen
814,4,Karens junior
815,4,Karens junior
816,4,Karens junior
817,3,Average customer
818,3,Average customer
819,0,Green screen
820,7,Meetfish
821,0,Green screen
822,1,Promotion seeker
823,6,Clean and green
824,7,Meetfish
826,6,Clean and green
827,7,Meetfish
830,2,Karens
831,0,Green screen
832,0,Green screen
833,5,Large Families
834,0,Green screen
835,4,Karens junior
836,2,Karens
837,2,Karens
838,4,Karens junior
839,6,Clean and green
840,8,
842,4,Karens junior
843,0,Green screen
844,8,
845,1,Promotion seeker
846,1,Promotion seeker
847,4,Karens junior
848,3,Average customer
849,3,Average customer
851,2,Karens
852,3,Average customer
853,7,Meetfish
854,6,Clean and green
855,5,Large Families
856,5,Large Families
857,6,Clean and green
859,2,Karens
860,8,
862,1,Promotion seeker
863,6,Clean and green
864,4,Karens junior
865,2,Karens
866,2,Karens
867,1,Promotion seeker
868,2,Karens
870,1,Promotion seeker
873,1,Promotion seeker
874,5,Large Families
875,3,Average customer
876,6,Clean and green
878,2,Karens
879,2,Karens
880,6,Clean and green
881,3,Average customer
883,6,Clean and green
884,2,Karens
886,1,Promotion seeker
887,8,
889,0,Green screen
890,1,Promotion seeker
891,6,Clean and green
893,4,Karens junior
894,1,Promotion seeker
896,4,Karens junior
897,0,Green screen
898,1,Promotion seeker
899,4,Karens junior
900,4,Karens junior
901,1,Promotion seeker
902,7,Meetfish
903,7,Meetfish
904,4,Karens junior
905,7,Meetfish
906,0,Green screen
907,8,
908,3,Average customer
909,2,Karens
910,2,Karens
911,7,Meetfish
913,0,Green screen
914,4,Karens junior
916,0,Green screen
917,4,Karens junior
918,4,Karens junior
919,4,Karens junior
920,0,Green screen
921,7,Meetfish
922,7,Meetfish
923,7,Meetfish
924,2,Karens
925,6,Clean and green
926,0,Green screen
927,4,Karens junior
928,1,Promotion seeker
929,1,Promotion seeker
930,1,Promotion seeker
931,6,Clean and green
933,5,Large Families
934,7,Meetfish
935,5,Large Families
936,0,Green screen
937,7,Meetfish
938,3,Average customer
939,5,Large Families
940,6,Clean and green
941,2,Karens
942,5,Large Families
944,6,Clean and green
945,4,Karens junior
946,4,Karens junior
947,3,Average customer
948,4,Karens junior
950,3,Average customer
951,1,Promotion seeker
953,1,Promotion seeker
954,6,Clean and green
955,0,Green screen
956,7,Meetfish
957,7,Meetfish
958,0,Green screen
960,5,Large Families
962,6,Clean and green
963,2,Karens
964,7,Meetfish
965,0,Green screen
966,0,Green screen
967,5,Large Families
968,6,Clean and green
969,7,Meetfish
970,1,Promotion seeker
973,0,Green screen
974,6,Clean and green
975,6,Clean and green
977,5,Large Families
978,0,Green screen
979,5,Large Families
980,1,Promotion seeker
981,8,
982,5,Large Families
983,2,Karens
986,1,Promotion seeker
989,3,Average customer
990,1,Promotion seeker
991,5,Large Families
992,3,Average customer
993,0,Green screen
994,7,Meetfish
996,0,Green screen
997,2,Karens
998,8,
999,3,Average customer
1000,6,Clean and green
1001,2,Karens
1002,2,Karens
1003,3,Average customer
1004,0,Green screen
1007,2,Karens
1008,2,Karens
1009,2,Karens
1011,4,Karens junior
1014,4,Karens junior
1015,5,Large Families
1016,7,Meetfish
1018,4,Karens junior
1019,6,Clean and green
1021,7,Meetfish
1022,4,Karens junior
1023,3,Average customer
1024,6,Clean and green
1025,7,Meetfish
1026,5,Large Families
1027,7,Meetfish
1028,5,Large Families
1029,6,Clean and green
1030,7,Meetfish
1031,0,Green screen
1032,7,Meetfish
1033,6,Clean and green
1034,7,Meetfish
1035,7,Meetfish
1038,1,Promotion seeker
1039,0,Green screen
1040,3,Average customer
1041,6,Clean and green
1042,3,Average customer
1043,0,Green screen
1044,0,Green screen
1045,4,Karens junior
1046,8,
1048,1,Promotion seeker
1049,0,Green screen
1050,0,Green screen
1051,2,Karens
1052,0,Green screen
1055,5,Large Families
1058,4,Karens junior
1060,7,Meetfish
1061,0,Green screen
1063,7,Meetfish
1064,3,Average customer
1065,5,Large Families
1066,7,Meetfish
1067,2,Karens
1068,5,Large Families
1069,8,
1071,5,Large Families
1072,5,Large Families
1073,7,Meetfish
1074,3,Average customer
1075,3,Average customer
1076,3,Average customer
1077,4,Karens junior
1078,0,Green screen
1079,2,Karens
1080,2,Karens
1082,8,
1083,0,Green screen
1084,4,Karens junior
1085,0,Green screen
1086,5,Large Families
1087,4,Karens junior
1088,0,Green screen
1089,3,Average customer
1090,6,Clean and green
1091,0,Green screen
1092,4,Karens junior
1093,6,Clean and green
1094,3,Average customer
1095,7,Meetfish
1096,2,Karens
1097,3,Average customer
1098,6,Clean and green
1099,5,Large Families
1101,4,Karens junior
1103,5,Large Families
1104,5,Large Families
1105,3,Average customer
1106,0,Green screen
1108,0,Green screen
1110,4,Karens junior
1111,4,Karens junior
1112,2,Karens
1113,1,Promotion seeker
1114,3,Average customer
1115,5,Large Families
1117,2,Karens
1118,4,Karens junior
1119,7,Meetfish
1120,3,Average customer
1121,4,Karens junior
1122,5,Large Families
1123,0,Green screen
1124,6,Clean and green
1125,1,Promotion seeker
1126,0,Green screen
1127,4,Karens junior
1128,4,Karens junior
1129,0,Green screen
1130,0,Green screen
1131,6,Clean and green
1132,7,Meetfish
1133,7,Meetfish
1134,2,Karens
1135,1,Promotion seeker
1136,6,Clean and green
1137,0,Green screen
1138,4,Karens junior
1139,5,Large Families
1140,5,Large Families
1141,4,Karens junior
1142,0,Green screen
1143,0,Green screen
1145,7,Meetfish
1146,5,Large Families
1150,3,Average customer
1152,1,Promotion seeker
1153,3,Average customer
1154,3,Average customer
1155,0,Green screen
1156,5,Large Families
1157,2,Karens
1158,2,Karens
1159,6,Clean and green
1160,5,Large Families
1163,0,Green screen
1164,7,Meetfish
1167,3,Average customer
1168,1,Promotion seeker
1170,7,Meetfish
1171,8,
1172,3,Average customer
1173,0,Green screen
1175,2,Karens
1177,5,Large Families
1178,0,Green screen
1179,5,Large Families
1180,6,Clean and green
1181,6,Clean and green
1182,4,Karens junior
1183,5,Large Families
1184,3,Average customer
1186,4,Karens junior
1187,0,Green screen
1189,0,Green screen
1190,3,Average customer
1191,5,Large Families
1193,3,Average customer
1194,0,Green screen
1196,2,Karens
1197,6,Clean and green
1199,4,Karens junior
1200,4,Karens junior
1201,7,Meetfish
1203,5,Large Families
1205,1,Promotion seeker
1206,0,Green screen
1207,7,Meetfish
1208,1,Promotion seeker
1209,3,Average customer
1210,6,Clean and green
1211,7,Meetfish
1212,4,Karens junior
1213,0,Green screen
1216,2,Karens
1217,6,Clean and green
1218,7,Meetfish
1219,0,Green screen
1221,7,Meetfish
1222,8,
1223,5,Large Families
1224,3,Average customer
1227,5,Large Families
1228,6,Clean and green
1229,4,Karens junior
1230,3,Average customer
1231,0,Green screen
1233,2,Karens
1234,4,Karens junior
1235,6,Clean and green
1236,2,Karens
1237,2,Karens
1238,2,Karens
1239,7,Meetfish
1240,5,Large Families
1241,0,Green screen
1242,7,Meetfish
1243,6,Clean and green
1245,3,Average customer
1246,0,Green screen
1247,2,Karens
1249,8,
1250,0,Green screen
1251,1,Promotion seeker
1252,7,Meetfish
1253,5,Large Families
1255,3,Average customer
1256,0,Green screen
1257,0,Green screen
1258,1,Promotion seeker
1259,2,Karens
1261,3,Average customer
1262,4,Karens junior
1263,0,Green screen
1264,0,Green screen
1265,4,Karens junior
1266,6,Clean and green
1268,0,Green screen
1269,1,Promotion seeker
1271,4,Karens junior
1272,0,Green screen
1273,2,Karens
1274,1,Promotion seeker
1275,7,Meetfish
1277,4,Karens junior
1278,1,Promotion seeker
1279,0,Green screen
1280,2,Karens
1281,1,Promotion seeker
1282,5,Large Families
1283,7,Meetfish
1284,2,Karens
1285,1,Promotion seeker
1286,7,Meetfish
1289,3,Average customer
1290,4,Karens junior
1291,6,Clean and green
1292,6,Clean and green
1293,6,Clean and green
1294,5,Large Families
1295,8,
1296,0,Green screen
1297,0,Green screen
1298,1,Promotion seeker
1299,5,Large Families
1300,0,Green screen
1301,3,Average customer
1302,0,Green screen
1303,5,Large Families
1304,5,Large Families
1305,1,Promotion seeker
1306,0,Green screen
1307,0,Green screen
1310,3,Average customer
1311,0,Green screen
1312,7,Meetfish
1313,3,Average customer
1314,2,Karens
1315,5,Large Families
1316,0,Green screen
1317,4,Karens junior
1318,4,Karens junior
1320,1,Promotion seeker
1321,8,
1322,2,Karens
1323,2,Karens
1324,0,Green screen
1326,7,Meetfish
1327,1,Promotion seeker
1328,4,Karens junior
1329,6,Clean and green
1330,4,Karens junior
1331,2,Karens
1332,1,Promotion seeker
1333,7,Meetfish
1334,1,Promotion seeker
1335,7,Meetfish
1336,3,Average customer
1338,5,Large Families
1339,5,Large Families
1340,6,Clean and green
1341,7,Meetfish
1342,3,Average customer
1343,4,Karens junior
1344,6,Clean and green
1345,4,Karens junior
1346,7,Meetfish
1347,3,Average customer
1348,1,Promotion seeker
1349,2,Karens
1350,0,Green screen
1351,2,Karens
1352,5,Large Families
1353,3,Average customer
1354,0,Green screen
1355,1,Promotion seeker
1356,1,Promotion seeker
1357,0,Green screen
1358,4,Karens junior
1359,4,Karens junior
1360,2,Karens
1361,0,Green screen
1362,7,Meetfish
1363,7,Meetfish
1364,3,Average customer
1365,7,Meetfish
1366,1,Promotion seeker
1367,1,Promotion seeker
1368,7,Meetfish
1370,0,Green screen
1371,3,Average customer
1373,0,Green screen
1374,0,Green screen
1376,6,Clean and green
1377,3,Average customer
1378,4,Karens junior
1379,0,Green screen
1380,0,Green screen
1381,0,Green screen
1383,4,Karens junior
1387,3,Average customer
1388,0,Green screen
1389,4,Karens junior
1390,6,Clean and green
1391,0,Green screen
1392,2,Karens
1393,0,Green screen
1394,6,Clean and green
1396,3,Average customer
1397,2,Karens
1398,2,Karens
1399,1,Promotion seeker
1400,2,Karens
1401,6,Clean and green
1402,6,Clean and green
1403,4,Karens junior
1404,0,Green screen
1405,6,Clean and green
1406,2,Karens
1407,5,Large Families
1408,5,Large Families
1409,5,Large Families
1411,0,Green screen
1412,7,Meetfish
1413,8,
1414,0,Green screen
1415,4,Karens junior
1416,0,Green screen
1417,1,Promotion seeker
1418,3,Average customer
1419,3,Average customer
1420,3,Average customer
1421,3,Average customer
1422,3,Average customer
1423,3,Average customer
1424,1,Promotion seeker
1426,4,Karens junior
1427,4,Karens junior
1428,2,Karens
1429,3,Average customer
1430,2,Karens
1431,1,Promotion seeker
1432,3,Average customer
1433,1,Promotion seeker
1434,4,Karens junior
1435,6,Clean and green
1436,5,Large Families
1437,7,Meetfish
1438,4,Karens junior
1439,7,Meetfish
1440,4,Karens junior
1441,0,Green screen
1442,3,Average customer
1443,7,Meetfish
1444,0,Green screen
1447,4,Karens junior
1448,4,Karens junior
1450,0,Green screen
1451,3,Average customer
1452,6,Clean and green
1453,5,Large Families
1454,7,Meetfish
1456,2,Karens
1460,1,Promotion seeker
1461,2,Karens
1462,1,Promotion seeker
1463,0,Green screen
1465,7,Meetfish
1466,1,Promotion seeker
1467,3,Average customer
1468,5,Large Families
1469,7,Meetfish
1471,3,Average customer
1472,4,Karens junior
1474,5,Large Families
1475,5,Large Families
1476,4,Karens junior
1477,3,Average customer
1478,2,Karens
1479,3,Average customer
1480,2,Karens
1481,0,Green screen
1483,6,Clean and green
1484,0,Green screen
1485,1,Promotion seeker
1486,1,Promotion seeker
1487,1,Promotion seeker
1488,6,Clean and green
1489,0,Green screen
1490,5,Large Families
1491,4,Karens junior
1492,7,Meetfish
1495,4,Karens junior
1496,0,Green screen
1497,5,Large Families
1498,2,Karens
1499,2,Karens
1500,7,Meetfish
1501,0,Green screen
1502,4,Karens junior
1503,6,Clean and green
1504,0,Green screen
1505,1,Promotion seeker
1506,0,Green screen
1507,2,Karens
1510,0,Green screen
1511,7,Meetfish
1512,6,Clean and green
1513,5,Large Families
1514,7,Meetfish
1516,8,
1517,1,Promotion seeker
1518,2,Karens
1519,2,Karens
1520,6,Clean and green
1522,8,
1523,0,Green screen
1524,8,
1526,6,Clean and green
1527,3,Average customer
1528,7,Meetfish
1529,3,Average customer
1530,5,Large Families
1531,0,Green screen
1532,0,Green screen
1533,6,Clean and green
1534,0,Green screen
1535,8,
1536,0,Green screen
1537,3,Average customer
1538,4,Karens junior
1539,3,Average customer
1541,7,Meetfish
1542,3,Average customer
1543,4,Karens junior
1544,3,Average customer
1546,0,Green screen
1547,3,Average customer
1550,4,Karens junior
1551,1,Promotion seeker
1552,3,Average customer
1553,3,Average customer
1555,6,Clean and green
1556,5,Large Families
1557,5,Large Families
1558,3,Average customer
1559,2,Karens
1560,6,Clean and green
1561,0,Green screen
1562,0,Green screen
1564,0,Green screen
1565,6,Clean and green
1566,0,Green screen
1568,6,Clean and green
1570,5,Large Families
1571,4,Karens junior
1572,0,Green screen
1575,4,Karens junior
1579,1,Promotion seeker
1580,2,Karens
1581,5,Large Families
1583,2,Karens
1584,4,Karens junior
1585,6,Clean and green
1586,8,
1587,6,Clean and green
1590,0,Green screen
1591,1,Promotion seeker
1592,0,Green screen
1593,5,Large Families
1595,0,Green screen
1596,3,Average customer
1597,0,Green screen
1598,2,Karens
1599,4,Karens junior
1600,3,Average customer
1601,0,Green screen
1602,8,
1603,3,Average customer
1604,2,Karens
1605,5,Large Families
1606,0,Green screen
1607,7,Meetfish
1608,8,
1609,6,Clean and green
1610,3,Average customer
1611,1,Promotion seeker
1612,3,Average customer
1613,1,Promotion seeker
1614,3,Average customer
1615,1,Promotion seeker
1616,4,Karens junior
1618,0,Green screen
1619,4,Karens junior
1620,2,Karens
1621,2,Karens
1622,6,Clean and green
1623,0,Green screen
1625,0,Green screen
1626,0,Green screen
1627,2,Karens
1628,4,Karens junior
1629,6,Clean and green
1631,3,Average customer
1633,0,Green screen
1635,4,Karens junior
1636,7,Meetfish
1637,4,Karens junior
1638,4,Karens junior
1639,0,Green screen
1641,1,Promotion seeker
1642,6,Clean and green
1643,2,Karens
1644,1,Promotion seeker
1646,6,Clean and green
1647,5,Large Families
1649,0,Green screen
1650,0,Green screen
1651,0,Green screen
1652,3,Average customer
1653,6,Clean and green
1655,4,Karens junior
1657,7,Meetfish
1658,0,Green screen
1659,6,Clean and green
1660,7,Meetfish
1661,1,Promotion seeker
1662,0,Green screen
1665,3,Average customer
1666,0,Green screen
1667,1,Promotion seeker
1668,1,Promotion seeker
1669,5,Large Families
1670,7,Meetfish
1671,2,Karens
1672,2,Karens
1673,1,Promotion seeker
1674,1,Promotion seeker
1675,6,Clean and green
1676,0,Green screen
1677,6,Clean and green
1678,0,Green screen
1679,5,Large Families
1681,7,Meetfish
1682,0,Green screen
1683,0,Green screen
1684,8,
1685,1,Promotion seeker
1686,6,Clean and green
1687,2,Karens
1688,7,Meetfish
1689,8,
1690,6,Clean and green
1691,4,Karens junior
1692,0,Green screen
1693,5,Large Families
1694,4,Karens junior
1695,4,Karens junior
1696,3,Average customer
1698,7,Meetfish
1699,0,Green screen
1700,6,Clean and green
1701,0,Green screen
1702,5,Large Families
1703,5,Large Families
1704,6,Clean and green
1705,2,Karens
1707,5,Large Families
1708,4,Karens junior
1709,4,Karens junior
1710,4,Karens junior
1711,4,Karens junior
1712,0,Green screen
1714,0,Green screen
1715,2,Karens
1716,3,Average customer
1717,5,Large Families
1718,4,Karens junior
1719,0,Green screen
1720,0,Green screen
1721,4,Karens junior
1722,6,Clean and green
1723,6,Clean and green
1724,6,Clean and green
1726,5,Large Families
1727,0,Green screen
1728,3,Average customer
1729,6,Clean and green
1730,5,Large Families
1731,0,Green screen
